asset_tag,name,hostname,ip_address,notes,is_active,alternative_name
CLD-asset-arn-aws-s3-demo-unencrypted-tmp,arn:aws:s3:::demo-unencrypted-tmp,,,s3 resource arn:aws:s3:::demo-unencrypted-tmp — SAMPLE DATA: NOT A CLIENT: Every finding below comes from bundled example files. None describes any real organization.,true,arn:aws:s3:::demo-unencrypted-tmp
CLD-asset-arn-aws-s3-demo-public-assets,arn:aws:s3:::demo-public-assets,,,s3 resource arn:aws:s3:::demo-public-assets — SAMPLE DATA: NOT A CLIENT: Every finding below comes from bundled example files. None describes any real organization.,true,arn:aws:s3:::demo-public-assets
CLD-asset-arn-aws-s3-demo-asff-open,arn:aws:s3:::demo-asff-open,,,s3 resource arn:aws:s3:::demo-asff-open — SAMPLE DATA: NOT A CLIENT: Every finding below comes from bundled example files. None describes any real organization.,true,arn:aws:s3:::demo-asff-open
CLD-asset-iam-admin-breakglass,iam-admin-breakglass,,,iam resource arn:aws:iam::123456789012:user/breakglass-admin — SAMPLE DATA: NOT A CLIENT: Every finding below comes from bundled example files. None describes any real organization.,true,arn:aws:iam::123456789012:user/breakglass-admin
CLD-asset-root,root,,,iam resource arn:aws:iam::123456789012:root — SAMPLE DATA: NOT A CLIENT: Every finding below comes from bundled example files. None describes any real organization.,true,arn:aws:iam::123456789012:root
CLD-asset-sg-default,sg-default,,,ec2 resource arn:aws:ec2:us-east-1:123456789012:security-group/sg-012345 — SAMPLE DATA: NOT A CLIENT: Every finding below comes from bundled example files. None describes any real organization.,true,arn:aws:ec2:us-east-1:123456789012:security-group/sg-012345
CLD-asset-acct-123456789012,acct-123456789012,,,cloudtrail resource arn:aws:cloudtrail:us-east-1:123456789012:trail/none — SAMPLE DATA: NOT A CLIENT: Every finding below comes from bundled example files. None describes any real organization.,true,arn:aws:cloudtrail:us-east-1:123456789012:trail/none
CLD-asset-rds-app-prod,rds-app-prod,,,rds resource arn:aws:rds:us-east-1:123456789012:db:app-prod — SAMPLE DATA: NOT A CLIENT: Every finding below comes from bundled example files. None describes any real organization.,true,arn:aws:rds:us-east-1:123456789012:db:app-prod
CLD-asset-vol-jump,vol-jump,,,ec2 resource arn:aws:ec2:us-east-1:123456789012:volume/vol-0abc — SAMPLE DATA: NOT A CLIENT: Every finding below comes from bundled example files. None describes any real organization.,true,arn:aws:ec2:us-east-1:123456789012:volume/vol-0abc
CLD-asset-demo-private-logs,demo-private-logs,,,s3 resource arn:aws:s3:::demo-private-logs — SAMPLE DATA: NOT A CLIENT: Every finding below comes from bundled example files. None describes any real organization.,true,arn:aws:s3:::demo-private-logs
CLD-asset-demo-scout-public,demo-scout-public,,,s3 resource demo-scout-public — SAMPLE DATA: NOT A CLIENT: Every finding below comes from bundled example files. None describes any real organization.,true,demo-scout-public
CLD-asset-iam-user-nomega,iam-user-nomega,,,iam resource arn:aws:iam::123456789012:user/nomega — SAMPLE DATA: NOT A CLIENT: Every finding below comes from bundled example files. None describes any real organization.,true,arn:aws:iam::123456789012:user/nomega
CODE-asset-infra-terraform-tfvars,infra/terraform.tfvars,infra/terraform.tfvars,,Code asset infra/terraform.tfvars — SAMPLE DATA: NOT A CLIENT: Every finding below comes from bundled example files. None describes any real organization.,true,
CODE-asset-services-payments-config-py,services/payments/config.py,services/payments/config.py,,Code asset services/payments/config.py — SAMPLE DATA: NOT A CLIENT: Every finding below comes from bundled example files. None describes any real organization.,true,
CODE-asset-deploy-env-sample,deploy/.env.sample,deploy/.env.sample,,Code asset deploy/.env.sample — SAMPLE DATA: NOT A CLIENT: Every finding below comes from bundled example files. None describes any real organization.,true,
CODE-asset-services-payments-query-py,services/payments/query.py,services/payments/query.py,,Code asset services/payments/query.py — SAMPLE DATA: NOT A CLIENT: Every finding below comes from bundled example files. None describes any real organization.,true,
CODE-asset-package-lock-json,package-lock.json,package-lock.json,,Code asset package-lock.json — SAMPLE DATA: NOT A CLIENT: Every finding below comes from bundled example files. None describes any real organization.,true,
CODE-asset-scripts-deploy-sh,scripts/deploy.sh,scripts/deploy.sh,,Code asset scripts/deploy.sh — SAMPLE DATA: NOT A CLIENT: Every finding below comes from bundled example files. None describes any real organization.,true,
DNS-asset-vpn-example-invalid,vpn.example.invalid,vpn.example.invalid,,domain vpn.example.invalid — SAMPLE DATA: NOT A CLIENT: Every finding below comes from bundled example files. None describes any real organization.,true,
DNS-asset-mail-example-invalid,mail.example.invalid,mail.example.invalid,,domain mail.example.invalid — SAMPLE DATA: NOT A CLIENT: Every finding below comes from bundled example files. None describes any real organization.,true,
DNS-asset-aspmx-l-google-invalid,aspmx.l.google.invalid,aspmx.l.google.invalid,,mail_org aspmx.l.google.invalid — SAMPLE DATA: NOT A CLIENT: Every finding below comes from bundled example files. None describes any real organization.,true,
DNS-asset-corp-example-invalid,corp.example.invalid,corp.example.invalid,,domain corp.example.invalid — SAMPLE DATA: NOT A CLIENT: Every finding below comes from bundled example files. None describes any real organization.,true,
DNS-asset-mx1-corp-example-invalid,mx1.corp.example.invalid,mx1.corp.example.invalid,,mail_org mx1.corp.example.invalid — SAMPLE DATA: NOT A CLIENT: Every finding below comes from bundled example files. None describes any real organization.,true,
EASM-asset-intranet-example-com,intranet.example.com,intranet.example.com,,External host intranet.example.com — SAMPLE DATA: NOT A CLIENT: Every finding below comes from bundled example files. None describes any real organization.,true,
EASM-asset-vpn-example-com,vpn.example.com,vpn.example.com,,External host vpn.example.com — SAMPLE DATA: NOT A CLIENT: Every finding below comes from bundled example files. None describes any real organization.,true,
EASM-asset-admin-example-com,admin.example.com,admin.example.com,,External host admin.example.com — SAMPLE DATA: NOT A CLIENT: Every finding below comes from bundled example files. None describes any real organization.,true,
