title,details,notes
Remediate: Cloud Custodian s3-encryption-missing,S3 bucket without default encryption,CTL-cld-s3-encryption-missing category=technical csf=protect — SAMPLE/DEMO — not a client estate. File-drop parse only. posted=false. Not a paying-day stamp.
Block public object-storage access,Remove public ACL/policy on the bucket. Keep the object private unless a documented exception exists.,CTL-cld-s3-bucket-server-side-encryption-enabled category=technical csf=protect — SAMPLE/DEMO — not a client estate. File-drop parse only. posted=false. Not a paying-day stamp.
Block public object-storage access,Remove public ACL/policy on the bucket. Keep the object private unless a documented exception exists.,CTL-cld-s3-bucket-public-access category=technical csf=respond — SAMPLE/DEMO — not a client estate. File-drop parse only. posted=false. Not a paying-day stamp.
Remediate: IAM user does not have AdministratorAccess,User has AdministratorAccess attached directly.,CTL-cld-iam-user-administrator-access category=technical csf=respond — SAMPLE/DEMO — not a client estate. File-drop parse only. posted=false. Not a paying-day stamp.
Remediate: Root account MFA enabled,Root user has no MFA device.,CTL-cld-iam-root-mfa-enabled category=technical csf=protect — SAMPLE/DEMO — not a client estate. File-drop parse only. posted=false. Not a paying-day stamp.
Remediate: Default security group restricts all traffic,Default SG allows 0.0.0.0/0 on all ports.,CTL-cld-ec2-securitygroup-allow-ingress-from-interne category=technical csf=protect — SAMPLE/DEMO — not a client estate. File-drop parse only. posted=false. Not a paying-day stamp.
Remediate: CloudTrail multi-region trail exists,No multi-region CloudTrail trail.,CTL-cld-cloudtrail-multi-region-enabled category=technical csf=protect — SAMPLE/DEMO — not a client estate. File-drop parse only. posted=false. Not a paying-day stamp.
Remediate: RDS instance not publicly accessible,RDS instance PubliclyAccessible=true.,CTL-cld-rds-instance-no-public-access category=technical csf=protect — SAMPLE/DEMO — not a client estate. File-drop parse only. posted=false. Not a paying-day stamp.
Remediate: EBS default encryption enabled,EBS volume unencrypted.,CTL-cld-ec2-ebs-default-encryption category=technical csf=protect — SAMPLE/DEMO — not a client estate. File-drop parse only. posted=false. Not a paying-day stamp.
Remediate: ScoutSuite Bucket readable by AllUsers,Bucket readable by AllUsers,CTL-cld-s3-bucket-allusers-read category=technical csf=respond — SAMPLE/DEMO — not a client estate. File-drop parse only. posted=false. Not a paying-day stamp.
Remediate: IAM users should have MFA,User nomega has no MFA device,CTL-cld-aws-iam-user-mfa category=technical csf=protect — SAMPLE/DEMO — not a client estate. File-drop parse only. posted=false. Not a paying-day stamp.
Reduce unnecessary network exposure (Sensitive external hostname vpn.example.com),Limit the exposed service on vpn.example.com to required networks. Confirm the listener is still needed.,CTL-easm-vpn-example-com category=technical csf=protect — SAMPLE/DEMO — not a client estate. File-drop parse only. posted=false. Not a paying-day stamp.
Reduce unnecessary network exposure (Sensitive external hostname admin.example.com),Limit the exposed service on admin.example.com to required networks. Confirm the listener is still needed.,CTL-easm-admin-example-com category=technical csf=protect — SAMPLE/DEMO — not a client estate. File-drop parse only. posted=false. Not a paying-day stamp.
Reduce unnecessary network exposure (Sensitive external hostname dev-api.example.com),Limit the exposed service on dev-api.example.com to required networks. Confirm the listener is still needed.,CTL-easm-dev-api-example-com category=technical csf=protect — SAMPLE/DEMO — not a client estate. File-drop parse only. posted=false. Not a paying-day stamp.
Reduce unnecessary network exposure (Sensitive external hostname staging.example.com),Limit the exposed service on staging.example.com to required networks. Confirm the listener is still needed.,CTL-easm-staging-example-com category=technical csf=protect — SAMPLE/DEMO — not a client estate. File-drop parse only. posted=false. Not a paying-day stamp.
Harden TLS on the exposed service,"Require TLS 1.2 or newer, disable weak ciphers, and use a valid certificate. This is a posture finding, not a specific TLS CVE.",CTL-easm-vpn-example-com-tls-weak category=technical csf=protect — SAMPLE/DEMO — not a client estate. File-drop parse only. posted=false. Not a paying-day stamp.
Remediate: Wazuh agent disconnected: db-01,Endpoint db-01 is disconnected; coverage gap.,CTL-waz-coverage-db-01 category=technical csf=protect — SAMPLE/DEMO — not a client estate. File-drop parse only. posted=false. Not a paying-day stamp.
Remediate: sshd: brute force trying to get access,sshd: brute force trying to get access,CTL-waz-alert-17001 category=technical csf=protect — SAMPLE/DEMO — not a client estate. File-drop parse only. posted=false. Not a paying-day stamp.
Remediate: Wazuh agent disconnected: fleet-laptop-07,Endpoint fleet-laptop-07 is disconnected; coverage gap.,CTL-waz-coverage-fleet-laptop-07 category=technical csf=protect — SAMPLE/DEMO — not a client estate. File-drop parse only. posted=false. Not a paying-day stamp.
Remediate: Wazuh agent disconnected: jump-unmanaged,Endpoint jump-unmanaged is never_connected; coverage gap.,CTL-waz-coverage-jump-unmanaged category=technical csf=protect — SAMPLE/DEMO — not a client estate. File-drop parse only. posted=false. Not a paying-day stamp.
Remediate: BloodHound GenericAll,Full control over the object. HELPDESK@CORP.LOCAL -> DOMAIN ADMINS@CORP.LOCAL,CTL-id-genericall-helpdeskcorp-local-domain-adminsco category=technical csf=respond — SAMPLE/DEMO — not a client estate. File-drop parse only. posted=false. Not a paying-day stamp.
Rotate and revoke exposed credentials,"Rotate the secret, revoke the old value, and remove it from the repo. The pack redacts secret material.",CTL-id-dcsync-svc-sqlcorp-local-corp-local category=technical csf=respond — SAMPLE/DEMO — not a client estate. File-drop parse only. posted=false. Not a paying-day stamp.
Remediate: BloodHound AdminTo,Principal has local admin on the target. HELPDESK@CORP.LOCAL -> DC01.CORP.LOCAL,CTL-id-adminto-helpdeskcorp-local-dc01-corp-local category=technical csf=protect — SAMPLE/DEMO — not a client estate. File-drop parse only. posted=false. Not a paying-day stamp.
Remediate: Backup Operators privileged group,Members can dump SAM / seize privileged files.,CTL-id-backup-operators-privileged-group-backup-oper category=technical csf=protect — SAMPLE/DEMO — not a client estate. File-drop parse only. posted=false. Not a paying-day stamp.
Remediate: Roastable SPN,SVC-SQL@CORP.LOCAL has an SPN and is kerberoastable.,CTL-id-roastable-spn-svc-sqlcorp-local category=technical csf=protect — SAMPLE/DEMO — not a client estate. File-drop parse only. posted=false. Not a paying-day stamp.
Remediate: High-value identity,DOMAIN ADMINS@CORP.LOCAL is marked high-value.,CTL-id-high-value-identity-domain-adminscorp-local category=technical csf=protect — SAMPLE/DEMO — not a client estate. File-drop parse only. posted=false. Not a paying-day stamp.
Remediate: Entra GA without PIM,ga@contoso.onmicrosoft.com is Global Administrator without PIM eligibility.,CTL-id-entra-ga-without-pim-gacontoso-onmicrosoft-co category=technical csf=respond — SAMPLE/DEMO — not a client estate. File-drop parse only. posted=false. Not a paying-day stamp.
Remediate: Unconstrained delegation,DC01.CORP.LOCAL has unconstrained Kerberos delegation.,CTL-id-unconstrained-delegation-dc01-corp-local category=technical csf=protect — SAMPLE/DEMO — not a client estate. File-drop parse only. posted=false. Not a paying-day stamp.
Remediate: HardeningKitty Enforce password history,Enforce password history result=failed recommended=24 actual=[REDACTED],CTL-id-hk-1-1 category=technical csf=protect — SAMPLE/DEMO — not a client estate. File-drop parse only. posted=false. Not a paying-day stamp.
Remediate: HardeningKitty Disable LM hash storage,Disable LM hash storage result=failed recommended=Enabled actual=[REDACTED],CTL-id-hk-18-9 category=technical csf=protect — SAMPLE/DEMO — not a client estate. File-drop parse only. posted=false. Not a paying-day stamp.
Remediate: High-value identity,Domain Admins is marked high-value.,CTL-id-high-value-identity-domain-admins category=technical csf=protect — SAMPLE/DEMO — not a client estate. File-drop parse only. posted=false. Not a paying-day stamp.
Remediate: Roastable SPN,SVC-KRBTGT-ROAST has an SPN and is kerberoastable.,CTL-id-roastable-spn-svc-krbtgt-roast category=technical csf=protect — SAMPLE/DEMO — not a client estate. File-drop parse only. posted=false. Not a paying-day stamp.
Remediate: AS-REP roastable account,SVC-KRBTGT-ROAST does not require Kerberos preauth.,CTL-id-as-rep-roastable-account-svc-krbtgt-roast category=technical csf=protect — SAMPLE/DEMO — not a client estate. File-drop parse only. posted=false. Not a paying-day stamp.
Disable or lock down cleartext FTP,Disable FTP (TCP/21) or replace with SFTP/FTPS. Restrict any remaining listener to a management VLAN.,CTL-nmap-legacy-ftp-corp-local-21 category=technical csf=protect — SAMPLE/DEMO — not a client estate. File-drop parse only. posted=false. Not a paying-day stamp.
Reduce unnecessary network exposure (HTTP exposed),Limit the exposed service on legacy-ftp.corp.local to required networks. Confirm the listener is still needed.,CTL-nmap-legacy-ftp-corp-local-80 category=technical csf=identify — SAMPLE/DEMO — not a client estate. File-drop parse only. posted=false. Not a paying-day stamp.
Harden or restrict SMB file sharing,"Restrict TCP/445 (SMB) to required admin or file-share hosts. Confirm SMBv1 is disabled on the endpoint. This finding is an open-port exposure, not a dialect or CVE.",CTL-nmap-filesrv-corp-local-445 category=technical csf=protect — SAMPLE/DEMO — not a client estate. File-drop parse only. posted=false. Not a paying-day stamp.
Restrict Windows admin shares,"Disable or ACL C$/ADMIN$/IPC$ so they are not reachable off the admin network. Confirm SMBv1 is disabled. This is a share-exposure finding, not a CVE.",CTL-nmap-filesrv-corp-local-admin-share category=technical csf=protect — SAMPLE/DEMO — not a client estate. File-drop parse only. posted=false. Not a paying-day stamp.
Reduce unnecessary network exposure (Open port 139/netbios-ssn),Limit the exposed service on filesrv.corp.local to required networks. Confirm the listener is still needed.,CTL-nmap-filesrv-corp-local-139 category=technical csf=identify — SAMPLE/DEMO — not a client estate. File-drop parse only. posted=false. Not a paying-day stamp.
Reduce unnecessary network exposure (Open port 88/kerberos-sec),Limit the exposed service on dc.corp.local to required networks. Confirm the listener is still needed.,CTL-nmap-dc-corp-local-88 category=technical csf=identify — SAMPLE/DEMO — not a client estate. File-drop parse only. posted=false. Not a paying-day stamp.
Reduce unnecessary network exposure (Open port 135/msrpc),Limit the exposed service on dc.corp.local to required networks. Confirm the listener is still needed.,CTL-nmap-dc-corp-local-135 category=technical csf=identify — SAMPLE/DEMO — not a client estate. File-drop parse only. posted=false. Not a paying-day stamp.
