weakness,asset,severity,framework_refs,recommended_fix,owner,due,status,estate,poam_id,finding_ref_id,controls,weakness_description,detector_source,weakness_source_id,original_detection_date,scheduled_completion_date,status_date,milestones,original_risk_rating,point_of_contact,cve
Anonymous Kubernetes API access,prod-cluster,critical,"cpg_3_I,csf_PR_AA_05,nist80053_IA-2,nist80053_AC-3","Set --anonymous-auth=false on kube-apiserver. This is a dropped CIS/kube-bench finding, not a live cluster call.",,,open,DEMO: NOT A CLIENT,EGP-8A1BBB3A0F,K8S-c-0013-prod-cluster,"IA-2, AC-3",anonymous-auth=true on kube-apiserver,k8s-kubescape (kubescape),C-0013,not recorded,pending due date,2026-09-26,pending due date,Critical,,
Apache Log4j RCE,https://app.corp.local,critical,"cpg_2_B,csf_ID_RA_01,nist80053_SI-2,nist80053_RA-5","Upgrade Log4j to a fixed release and block JNDI lookups. This is a dropped Nuclei finding, not a live scan.",,,open,DEMO: NOT A CLIENT,EGP-D8920D895C,VULN-cve-2021-44228-https-app-corp-local,"SI-2, RA-5",Log4Shell JNDI lookup,vuln-scan (nuclei),CVE-2021-44228,not recorded,pending due date,2026-09-26,pending due date,Critical,,CVE-2021-44228
BloodHound DCSync,SVC-SQL@CORP.LOCAL|CORP.LOCAL,critical,"cpg_3_H,csf_PR_AA_05,nist80053_AC-6,nist80053_AC-2,nist80053_AC-3","Revoke DS-Replication-Get-Changes and DS-Replication-Get-Changes-All (DCSync) from non-DC principals. This is a directory replication-rights finding, not a secret-rotation-only fix.",,,open,DEMO: NOT A CLIENT,EGP-4142800CF1,ID-dcsync-svc-sqlcorp-local-corp-local,"AC-6, AC-2, AC-3",Principal can replicate directory secrets. SVC-SQL@CORP.LOCAL -> CORP.LOCAL,identity-ad,,not recorded,pending due date,2026-09-26,pending due date,Critical,,
BloodHound GenericAll,HELPDESK@CORP.LOCAL|DOMAIN ADMINS@CORP.LOCAL,critical,"cpg_3_H,csf_PR_AA_05,nist80053_AC-6,nist80053_AC-2","Remove the GenericAll ACE from the principal. This is a BloodHound file-drop finding, not a live AD call.",,,open,DEMO: NOT A CLIENT,EGP-BC70C5C536,ID-genericall-helpdeskcorp-local-domain-adminscorp-local,"AC-6, AC-2",Full control over the object. HELPDESK@CORP.LOCAL -> DOMAIN ADMINS@CORP.LOCAL,identity-ad,,not recorded,pending due date,2026-09-26,pending due date,Critical,,
Entra GA without PIM,ga@contoso.onmicrosoft.com,critical,"cpg_3_H,csf_PR_AA_05,nist80053_AC-2,nist80053_AC-6","Use PIM eligible assignments instead of standing Global Administrator. This is a dropped Scuba/Graph export finding, not a Graph API call.",,,open,DEMO: NOT A CLIENT,EGP-03B5005C49,ID-entra-ga-without-pim-gacontoso-onmicrosoft-com,"AC-2, AC-6",ga@contoso.onmicrosoft.com is Global Administrator without PIM eligibility.,identity-ad,,not recorded,pending due date,2026-09-26,pending due date,Critical,,
Entra Global Administrator via Graph,ga@contoso.onmicrosoft.com|contoso.onmicrosoft.com,critical,"cpg_3_H,csf_PR_AA_05,nist80053_AC-2,nist80053_AC-6,nist80053_AC-5","Use PIM eligible assignments instead of standing Global Administrator. This is a dropped Scuba/Graph export finding, not a Graph API call.",,,open,DEMO: NOT A CLIENT,EGP-56F0FB955B,SAAS-graph-ga-gacontoso-onmicrosoft-com,"AC-2, AC-6, AC-5",ga@contoso.onmicrosoft.com holds Global Administrator (Microsoft Graph export),saas-idp,,not recorded,pending due date,2026-09-26,pending due date,Critical,,
Generic API Key,services/payments/config.py,critical,"cpg_3_C,csf_PR_AA_01,nist80053_IA-5,nist80053_SI-4,cis_3_3","Rotate the secret, revoke the old value, and remove it from the repo. The pack redacts secret material.",,,open,DEMO: NOT A CLIENT,EGP-974754C65F,CODE-generic-api-key-services-payments-config-py,"IA-5, SI-4",Secret rule generic-api-key in services/payments/config.py:12 value=[REDACTED],code-secrets (gitleaks),,not recorded,pending due date,2026-09-26,pending due date,Critical,,
Generic Secret,deploy/.env.sample,critical,"cpg_3_C,csf_PR_AA_01,nist80053_IA-5,nist80053_SI-4,cis_3_3","Rotate the secret, revoke the old value, and remove it from the repo. The pack redacts secret material.",,,open,DEMO: NOT A CLIENT,EGP-D229DEE873,CODE-generic-secret-deploy-env-sample,"IA-5, SI-4",Secret rule generic-secret in deploy/.env.sample:3 value=[REDACTED],code-secrets (gitleaks),,not recorded,pending due date,2026-09-26,pending due date,Critical,,
IAM user has standing AdministratorAccess,iam-admin-breakglass,critical,"cpg_3_H,csf_PR_AA_05,nist80053_AC-2,nist80053_AC-6","Detach AdministratorAccess from IAM users. Prefer a role or break-glass group. This is an IAM posture finding, not a CVE.",,,open,DEMO: NOT A CLIENT,EGP-AB11671FFA,CLD-iam-user-administrator-access-123456789012-iam-admin-breakglass,"AC-2, AC-6",User has AdministratorAccess attached directly.,cloud-prowler,iam_user_administrator_access,not recorded,pending due date,2026-09-26,pending due date,Critical,,
Launch Privileged Container,prod-cluster|payments-worker,critical,"cpg_3_H,csf_PR_AA_05,nist80053_AC-6,nist80053_CM-7","Do not run privileged=true; block admission of privileged pods. This is a Kubescape/kube-bench/Falco finding from a dropped export, not a live kubectl call.",,,open,DEMO: NOT A CLIENT,EGP-A50B32C5EA,K8S-launch-privileged-container-prod-cluster,"AC-6, CM-7",Privileged container started,"k8s-kubescape (kubescape, falco)",Launch Privileged Container,not recorded,pending due date,2026-09-26,pending due date,Critical,,
