POAM ID,Controls,Weakness Name,Weakness Description,Weakness Detector Source,Weakness Source Identifier,Asset Identifier,Point of Contact,Resources Required,Overall Remediation Plan,Original Detection Date,Scheduled Completion Date,Status Date,Vendor Dependency,Last Vendor Check-in Date,Vendor Dependent Product Name,Original Risk Rating,Adjusted Risk Rating,Risk Adjustment,False Positive,Operational Requirement,Deviation Rationale,Supporting Documents,Comments,Binding Operational Directive 22-01 tracking,Binding Operational Directive 22-01 Due Date,CVE,Framework Tags
EGP-6AC29500A4,,Cloud Custodian s3-encryption-missing,S3 bucket without default encryption,cloud-prowler,prowler:s3-encryption-missing,arn:aws:s3:::demo-unencrypted-tmp,,,,not recorded,,2026-09-26,No,,,High,,,,,,,,,,,"cpg_3_K,csf_PR_DS_01,nist80053_SC-28,nist80053_SC-13"
EGP-4EBC78720E,,S3 bucket server-side encryption,ASFF export: encryption not enforced on demo-public-assets.,cloud-prowler,prowler:s3_bucket_server_side_encryption_enabled,arn:aws:s3:::demo-public-assets,,,,not recorded,,2026-09-26,No,,,High,,,,,,,,,,,"cpg_3_K,csf_PR_DS_01,nist80053_SC-28,nist80053_SC-13"
EGP-476574DDAC,,S3 bucket allows public access,Bucket demo-asff-open has a public-access block disabled and is reachable by AllUsers.,cloud-prowler,prowler:s3_bucket_public_access,arn:aws:s3:::demo-asff-open,,,,not recorded,,2026-09-26,No,,,High,,,,,,,,,,,"cpg_3_S,csf_PR_AA_05,nist80053_AC-3,nist80053_AC-6,nist80053_SC-7"
EGP-48F4BD4DB7,,S3 bucket prohibits public access,Bucket ACL and policy allow public List/Get.,cloud-prowler,prowler:s3_bucket_public_access,demo-public-assets,,,,not recorded,,2026-09-26,No,,,High,,,,,,,Scanner rating Critical (col R maps Critical→High; template M has no Critical branch).,,,,"cpg_3_S,csf_PR_AA_05,nist80053_AC-3,nist80053_AC-6,nist80053_SC-7"
EGP-AB11671FFA,,IAM user does not have AdministratorAccess,User has AdministratorAccess attached directly.,cloud-prowler,prowler:iam_user_administrator_access,iam-admin-breakglass,,,,not recorded,,2026-09-26,No,,,High,,,,,,,Scanner rating Critical (col R maps Critical→High; template M has no Critical branch).,,,,"cpg_3_H,csf_PR_AA_05,nist80053_AC-2,nist80053_AC-6"
EGP-15AD69F129,,Root account MFA enabled,Root user has no MFA device.,cloud-prowler,prowler:iam_root_mfa_enabled,root,,,,not recorded,,2026-09-26,No,,,High,,,,,,,,,,,"cpg_3_F,csf_PR_AA_03,nist80053_IA-2,nist80053_IA-2(1)"
EGP-D4C1B8A8D7,,Default security group restricts all traffic,Default SG allows 0.0.0.0/0 on all ports.,cloud-prowler,prowler:ec2_securitygroup_allow_ingress_from_internet_to_any_port,sg-default,,,,not recorded,,2026-09-26,No,,,High,,,,,,,,,,,"cpg_3_S,csf_PR_IR_01,nist80053_SC-7,nist80053_AC-3"
EGP-BC9939439E,,CloudTrail multi-region trail exists,No multi-region CloudTrail trail.,cloud-prowler,prowler:cloudtrail_multi_region_enabled,acct-123456789012,,,,not recorded,,2026-09-26,No,,,High,,,,,,,,,,,"cpg_3_Q,csf_DE_CM_09,nist80053_AU-2,nist80053_AU-3,nist80053_AU-12"
EGP-715049DEA3,,RDS instance not publicly accessible,RDS instance PubliclyAccessible=true.,cloud-prowler,prowler:rds_instance_no_public_access,rds-app-prod,,,,not recorded,,2026-09-26,No,,,High,,,,,,,,,,,"cpg_3_S,csf_PR_IR_01,nist80053_SC-7,nist80053_AC-3"
EGP-06AA325F5E,,EBS default encryption enabled,EBS volume unencrypted.,cloud-prowler,prowler:ec2_ebs_default_encryption,vol-jump,,,,not recorded,,2026-09-26,No,,,Moderate,,,,,,,,,,,"cpg_3_K,csf_PR_DS_01,nist80053_SC-28,nist80053_SC-13"
