ref_id,name,description,status,severity,assets,applied_controls
CODE-generic-api-key-services-payments-config-py,Generic API Key,Secret rule generic-api-key in services/payments/config.py:12 value=[REDACTED],Exploitable,Critical,services/payments/config.py,CTL-code-generic-api-key-services-payments-config-py
CODE-generic-secret-deploy-env-sample,Generic Secret,Secret rule generic-secret in deploy/.env.sample:3 value=[REDACTED],Exploitable,Critical,deploy/.env.sample,CTL-code-generic-secret-deploy-env-sample
CODE-python-lang-security-audit-hardcoded-password-se,Hardcoded credential assigned to variable,Hardcoded credential assigned to variable,Exploitable,High,services/payments/config.py,CTL-code-python-lang-security-audit-hardcoded-passwo
CODE-python-lang-security-audit-sql-injection-service,Possible SQL injection via string format,Possible SQL injection via string format,Exploitable,High,services/payments/query.py,CTL-code-python-lang-security-audit-sql-injection-se
CODE-cve-2023-44270-package-lock-json,postcss line return parsing,Affected lockfile dependency.,Exploitable,Medium,package-lock.json,CTL-code-cve-2023-44270-package-lock-json
CODE-cve-2022-25883-package-lock-json,semver regular expression DoS,ReDoS in npm semver.,Exploitable,High,package-lock.json,CTL-code-cve-2022-25883-package-lock-json
CODE-trufflehog-aws-infra-terraform-tfvars,TruffleHog AWS,AWS secret in infra/terraform.tfvars value=[REDACTED] verified=False,Exploitable,High,infra/terraform.tfvars,CTL-code-trufflehog-aws-infra-terraform-tfvars
CODE-trufflehog-github-scripts-deploy-sh,TruffleHog Github,Github secret in scripts/deploy.sh value=[REDACTED] verified=True,Exploitable,Critical,scripts/deploy.sh,CTL-code-trufflehog-github-scripts-deploy-sh
VULN-nessus-42411-http-10-0-0-20-445,Microsoft Windows SMB Shares Unprivileged Access,"SMB file sharing is reachable without a privileged account. This is a dropped Nessus export, not a live scan. (Nessus file-drop; not a live scan)",Exploitable,High,http://10.0.0.20,CTL-vuln-nessus-42411-http-10-0-0-20-445
VULN-python-lang-security-audit-command-injection-app,"DEMO — possible command injection (fixture, not a scan)","DEMO — possible command injection (fixture, not a scan)",Exploitable,High,app-01.demo.internal,CTL-vuln-python-lang-security-audit-command-injectio
VULN-1-3-6-1-4-1-25623-1-0-103234-10-0-0-30,OpenSSL Heartbleed,TLS heartbeat read overrun on web-01.,Exploitable,High,10.0.0.30,CTL-vuln-1-3-6-1-4-1-25623-1-0-103234-10-0-0-30
VULN-exposed-redis-https-redis-a-lab-internal,Redis without auth,"Unauthenticated Redis on three LAB-shaped demo hosts. Same template, three assets. DEMO estate — not a client KEEP.",Exploitable,High,https://redis-a.lab.internal,CTL-vuln-exposed-redis-https-redis-a-lab-internal
VULN-exposed-redis-https-redis-b-lab-internal,Redis without auth,"Unauthenticated Redis on three LAB-shaped demo hosts. Same template, three assets. DEMO estate — not a client KEEP.",Exploitable,High,https://redis-b.lab.internal,CTL-vuln-exposed-redis-https-redis-b-lab-internal
VULN-exposed-redis-https-redis-c-lab-internal,Redis without auth,"Unauthenticated Redis on three LAB-shaped demo hosts. Same template, three assets. DEMO estate — not a client KEEP.",Exploitable,High,https://redis-c.lab.internal,CTL-vuln-exposed-redis-https-redis-c-lab-internal
VULN-cve-2021-44228-https-app-corp-local,Apache Log4j RCE,Log4Shell JNDI lookup,Exploitable,Critical,https://app.corp.local,CTL-vuln-cve-2021-44228-https-app-corp-local
VULN-cve-2023-44487-https-dev-api-example-com,HTTP/2 Rapid Reset,HTTP/2 rapid reset DoS,Exploitable,High,https://dev-api.example.com,CTL-vuln-cve-2023-44487-https-dev-api-example-com
VULN-exposed-panel-http-10-0-0-20,Exposed admin panel,Unauthenticated admin UI,Exploitable,Medium,http://10.0.0.20,CTL-vuln-exposed-panel-http-10-0-0-20
VULN-sslscan-tls10-vpn-example-com,TLS 1.0 offered,TLS 1.0 enabled on vpn.example.com,Exploitable,High,vpn.example.com,CTL-vuln-sslscan-tls10-vpn-example-com
VULN-cve-2014-0160-dev-api-example-com-203-0-113-20,heartbleed,Heartbleed still offered on TLS,Exploitable,High,dev-api.example.com,CTL-vuln-cve-2014-0160-dev-api-example-com-203-0-113
VULN-tls1-dev-api-example-com-203-0-113-20,TLS1,TLS 1.0 offered,Exploitable,High,dev-api.example.com,CTL-vuln-tls1-dev-api-example-com-203-0-113-20
VULN-cve-2024-3094-app-server-latest,xz-utils supply chain backdoor,Malicious code in xz-utils liblzma.,Exploitable,Critical,app-server:latest,CTL-vuln-cve-2024-3094-app-server-latest
VULN-cve-2023-38545-app-server-latest,curl SOCKS heap overflow,Heap buffer overflow in curl SOCKS handshake.,Exploitable,High,app-server:latest,CTL-vuln-cve-2023-38545-app-server-latest
