# SYNTHETIC schema fixture — not an observed HardeningKitty scan.
# Hand-authored for parser tests. Real MS Security Baseline IDs/names from
# scipag/HardeningKitty finding_list_msft_security_baseline_windows_11_24h2_machine.csv.
# Official HK report columns: Result=actual, TestResult=Passed|Failed.
# Never Seen. Never CIS Benchmark / CIS-CAT. LAB dest_in only.
ID,Category,Name,Severity,Result,Recommended,TestResult,SeverityFinding,ComputerName
10100,Account Policies,Length of password history maintained,Low,[REDACTED],24,Failed,Low,lab-win.lab.internal
10101,Account Policies,Minimum password length,Medium,[REDACTED],14,Failed,Medium,lab-win.lab.internal
10102,Account Policies,Password must meet complexity requirements,Medium,1,1,Passed,Medium,lab-win.lab.internal
10001,Account Policies,Account lockout threshold,Low,[REDACTED],10,Failed,Low,lab-win.lab.internal
10208,Security Options,Interactive logon: Machine inactivity limit,Low,[REDACTED],900,Failed,Low,lab-win.lab.internal
10400,Advanced Audit Policy Configuration,Credential Validation,Low,No Auditing,Success and Failure,Failed,Low,lab-win.lab.internal
10501,Windows Firewall,"EnableFirewall (Domain Profile, Policy)",Medium,0,1,Failed,Medium,lab-win.lab.internal
10219,Security Options,Network security: Do not store LAN Manager hash value on next password change,High,0,1,Failed,High,lab-win.lab.internal
11014,Administrative Templates: Windows Components,Microsoft Defender Antivirus: Real-time Protection: Turn off real-time protection,Medium,1,0,Failed,Medium,lab-win.lab.internal
10964,Administrative Templates: Windows Components,Remote Desktop Session Host: Security: Set client connection encryption level,Medium,1,3,Failed,Medium,lab-win.lab.internal
