ref_id,name,description,severity,status,filtering_labels
CLD-s3-encryption-missing-demo-unencrypted-tmp,Cloud Custodian s3-encryption-missing,S3 bucket without default encryption,high,identified,"cloud,prowler,s3,demo,estate_demo,csf_PR,csf_protect,nist_csf"
CLD-s3-bucket-server-side-encryption-enabled-arn-aws,S3 bucket server-side encryption,ASFF export: encryption not enforced on demo-public-assets.,high,identified,"cloud,prowler,s3,demo,estate_demo,csf_PR,csf_protect,nist_csf"
CLD-s3-bucket-public-access-arn-aws-s3-demo-asff-ope,S3 bucket allows public access,Bucket demo-asff-open has a public-access block disabled and is reachable by AllUsers.,high,identified,"cloud,prowler,s3,demo,estate_demo,cpg_2_W,csf_PR,csf_protect,cisa_cpg,nist_csf"
CLD-s3-bucket-public-access-demo-public-assets,S3 bucket prohibits public access,Bucket ACL and policy allow public List/Get.,critical,identified,"cloud,prowler,s3,demo,estate_demo,cpg_2_W,csf_PR,csf_protect,cisa_cpg,nist_csf"
CLD-iam-user-administrator-access-iam-admin-breakgla,IAM user does not have AdministratorAccess,User has AdministratorAccess attached directly.,critical,identified,"cloud,prowler,iam,demo,estate_demo,csf_PR,csf_protect,nist_csf"
CLD-iam-root-mfa-enabled-root,Root account MFA enabled,Root user has no MFA device.,high,identified,"cloud,prowler,iam,demo,estate_demo,csf_PR,csf_protect,nist_csf"
CLD-ec2-securitygroup-allow-ingress-from-internet-to,Default security group restricts all traffic,Default SG allows 0.0.0.0/0 on all ports.,high,identified,"cloud,prowler,ec2,demo,estate_demo,cpg_2_W,csf_PR,csf_protect,cisa_cpg,nist_csf"
CLD-cloudtrail-multi-region-enabled-acct-12345678901,CloudTrail multi-region trail exists,No multi-region CloudTrail trail.,high,identified,"cloud,prowler,cloudtrail,demo,estate_demo,csf_DE,csf_detect,nist_csf"
CLD-rds-instance-no-public-access-rds-app-prod,RDS instance not publicly accessible,RDS instance PubliclyAccessible=true.,high,identified,"cloud,prowler,rds,demo,estate_demo,cpg_2_W,csf_PR,csf_protect,cisa_cpg,nist_csf"
CLD-ec2-ebs-default-encryption-vol-jump,EBS default encryption enabled,EBS volume unencrypted.,medium,identified,"cloud,prowler,ec2,demo,estate_demo,csf_PR,csf_protect,nist_csf"
